Phase,Dataset,Algorithm,Vectorization,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Average
Stage 1,PROMISE,DNN,GloVe,0.8711340206185567,0.8505154639175257,0.8041237113402062,0.8762886597938144,0.8238341968911918,0.8451792105122589
Stage 2,PROMISE,DNN,GloVe,0.5333333333333333,0.5,0.5619047619047619,0.5428571428571428,0.5480769230769231,0.5372344322344322
Overall,PROMISE,DNN,GloVe,0.6649484536082474,0.6237113402061856,0.6134020618556701,0.6597938144329897,0.6217616580310881,0.6367234656268361
Stage 1,PROMISE,GRU,GloVe,0.8402061855670103,0.8402061855670103,0.8195876288659794,0.8505154639175257,0.8031088082901554,0.8307248544415362
Stage 2,PROMISE,GRU,GloVe,0.5238095238095238,0.49056603773584906,0.5904761904761905,0.580952380952381,0.5288461538461539,0.5429300573640197
Overall,PROMISE,GRU,GloVe,0.654639175257732,0.6134020618556701,0.6237113402061856,0.6597938144329897,0.6010362694300518,0.6305165322365258
Stage 1,PROMISE,LSTM,GloVe,0.845360824742268,0.8556701030927835,0.8041237113402062,0.845360824742268,0.8082901554404145,0.8317611238715881
Stage 2,PROMISE,LSTM,GloVe,0.5523809523809524,0.5377358490566038,0.6,0.580952380952381,0.5673076923076923,0.5676753749395258
Overall,PROMISE,LSTM,GloVe,0.654639175257732,0.6391752577319587,0.6237113402061856,0.634020618556701,0.6217616580310881,0.634661609956733
Stage 1,PROMISE,BiCNN,Word2Vec,0.5360824742268041,0.5567010309278351,0.520618556701031,0.5463917525773195,0.5751295336787565,0.5469846696223492
Stage 2,PROMISE,BiCNN,Word2Vec,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,BiCNN,Word2Vec,0.14432989690721648,0.14948453608247422,0.15979381443298968,0.14432989690721648,0.18652849740932642,0.15689332834784464
Stage 1,PROMISE,BiLSTM,Word2Vec,0.8298969072164949,0.8350515463917526,0.845360824742268,0.8711340206185567,0.8290155440414507,0.8420917686021046
Stage 2,PROMISE,BiLSTM,Word2Vec,0.5333333333333333,0.5094339622641509,0.5904761904761905,0.580952380952381,0.5480769230769231,0.5524545580205957
Overall,PROMISE,BiLSTM,Word2Vec,0.6134020618556701,0.6134020618556701,0.6391752577319587,0.6649484536082474,0.6113989637305699,0.6284653597564233
Stage 1,PROMISE,CNN,Word2Vec,0.5412371134020618,0.5463917525773195,0.5412371134020618,0.5412371134020618,0.5440414507772021,0.5428289087121414
Stage 2,PROMISE,CNN,Word2Vec,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,CNN,Word2Vec,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.13402061855670103,0.13471502590673576,0.13106671652155333
Stage 1,PROMISE,DNN,Word2Vec,0.8247422680412371,0.8505154639175257,0.8556701030927835,0.9072164948453608,0.844559585492228,0.856540783077827
Stage 2,PROMISE,DNN,Word2Vec,0.5428571428571428,0.4716981132075472,0.5714285714285714,0.5619047619047619,0.5480769230769231,0.5391931024949892
